"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000001","4.33987376","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","0.000198","No"
"0x000000000035b5e5ad9019092c665357240f594e","1.3E-07","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","1E-08","No"
"0x0000000000d41c96294ccdac8612bdfe29c641af","1E-08","No"
"0x0000000099cb7fc48a935bceb9f05bbae54e8987","1.1E-07","No"
"0x00000000b7ca7e12dcc72290d1fe47b2ef14c607","2.9E-07","No"
"0x000000c52b33fa71614810224771dc8f3255b220","4E-08","No"
"0x0005b3ab83839beb207fcc330987c3489bb0478a","1","No"
"0x0005df7b8ddbeeb2fea5afa8c570e7fad684ce55","81604","No"
"0x000e09b73d04b502e4be823ec470df5772518e36","335.40140435","No"
"0x00100aa5699a558e4d08e4fe6fec3ba33fb85de2","95700.0253512","No"
"0x001234bb18816d5d78bf5d86d4255c28da74f953","230.683","No"
"0x0013fd03a4891fa3a71bbd5af9bc72fde791ed5c","124.10560324","No"
"0x0017b8e37ec517edd97c1d74c332494dbb91eb49","14275.6888","No"
"0x001b01d2ee81b35b5e03587d3252c9b2c6a15628","12288","No"
"0x001c46ba3a0d7f09302961f4811dc0521c0c3545","1000","No"
"0x001fe004b614542d02523722195af3380b82f93d","2","No"
"0x0021bc27c6f1c0bc127226ab68e367f1e3b0b3ec","200","No"
"0x0021cf8752f91accebf7af1a92461549d395c649","2687.143","No"
"0x0023499c1cbe231568cb919da6203934d5349a35","176.7159","No"
"0x0024043c48364cbc5a3ce28c54779a2b4821a570","9920.638","No"
"0x0024b5903f0eb068e77f3e796bd2edea926c26e5","1010.819","No"
"0x002760092aba66fe3ab17bf372c191c9d1cc1341","468.77941132","No"
"0x002d912877f52b65120e8b481a4026fe02ead95d","71000","No"
"0x0030fe1cd4c6cb5541247abf58ac1733b6d54f44","122.875","No"
"0x00313c64aac0e53eaa40fea01795bd5069d8f004","477.35679213","No"
"0x0031415d2c4d423f50eda1cc8284c21e7d1b1322","15750.00343561","No"
"0x0031cc628cbae63f5333eca8ad84ea689a94b4df","320","No"
"0x003615db702a6f5173aff8473bd6bda3858f1a17","0.00764","No"
"0x0036854fd7397cbf40cd343ba11fc5739209da28","414","No"
"0x0038a71b21e40c7bf1a1d7720ee317419f8cfc64","29400","No"
"0x003933989385fab554623d558523cfd23cea8503","25.17971249","No"
"0x003b8cff939742c10bb0415c76610e15430d6d72","2393.5","No"
"0x003d68d976602af2d64bb6489c4fb4ab201c7cb3","619.7229463","No"
"0x003fb87b6514177721116bc7cb395ef33b531f2c","116.56587074","No"
"0x0048a27710c2714b038186d055dd514688d8f707","1000","No"
"0x004ae0e4435993f2e07dbdb3d32dafc78e36c7e5","337.21715179","No"
"0x004b7d70e026cf3cb3d0eabff09efd50c0ae90c7","28692","No"
"0x004b88eaf7e77811403ef00ec4cf5c279360c169","140000","No"
"0x0050cae7b95e34c79fc075b1ba54a8a404175c6d","36750","No"
"0x00528451b38640e57ac8ffbfb5c805b9ce0fcd0c","86566","No"
"0x005a745821be8ac70a2ecbaccd1596bfabc50f8e","50000","No"
"0x005e0df13eb8d44813343a4cc6afb60ed2a69d11","10","No"
"0x005ea756b9678dffa7762d8a808fb19766329814","12084.89075986","No"
"0x005ff202c271d2419fb03ec873dedfe163a5ce36","2000","No"
"0x006136533b92831dd6eece449f59cdd81a4ae640","86.8179526","No"
"0x0064081bbbad9c9584a7ad13ac127181171f11ea","39138","No"
"0x00656b8ce9f359372b56e43962247f0288c45571","9261","No"
"0x0068afbf827048dccad085317d94fd3dee7fecd8","4656.864","No"
"0x0068fe70da11d4f8b4f3ce6d420614ac58e22869","204805.758","No"
"0x00695dd89d2f85dd0144bc71efcad85508d7c47c","1002","No"
"0x006ac2dba51a8a37f10d88528dbcb2957b873d1d","10","No"
"0x006edccaf2abf76d29848fe30e9a5bf8e880ee51","1726.4266","No"
"0x00708884a77a0f0c0d29e3b8d120b359ad6c2366","16595.12","No"
"0x00715aad20f9a034ae3dce26d51c25509c3bf503","850","No"
"0x0072f116c58149da7a0fed65eabd0f98bd705b9e","73447","No"
"0x0074709077b8ae5a245e4ed161c971dc4c3c8e2b","1","No"
"0x007498ecdf8021e50bcdd18e2cbd214669e7326a","250","No"
"0x0076bdb84c5076f6fdb04255d7d9fcf5ae8217e5","2365.61","No"
"0x00792bd49da78685703bdbccca5065481d764b0a","1323","No"
"0x007bcbd020b7a4f58f9aff3a43710327575d6b1c","2520.2817","No"
"0x007c22b4faeb4b546d8ee94a9851c15b62c70dcd","1030","No"
"0x0082f51100d2a80f086876fa7a99f1586efb6c8e","6623.7138527","No"
"0x00842c5b843a8e9a7e4bae8eb076441849d28836","20262.33718796","No"
"0x0088d006994c497714faf8a951eed216b17082e2","948.051","No"
"0x008cec3b0eb7cafabca00fd649616f0992a1aacf","7050","No"
"0x0094378b691db9b4d6074870460ca466270b3cbe","180000","No"
"0x009544e26b0f1a5e67ce2b66316c1271c5a018be","8213.0072","No"
"0x009715083199520a75ccf26596dd915af23064ab","49191.343","No"
"0x0098148c5aa3853f2f3dea279cf10c12d7a3d68e","10","No"
"0x009b8329215915c3367fbc359a697c9113ba892c","30","No"
"0x009bb9602fe6f5fcc4bb5499531b8b2ec6ad160b","23068.97486973","No"
"0x00a5d483a3891a9288f7b9ffb352e2da5d1307a0","1102.9224344","No"
"0x00a98da285c0d30be0d7368f0eb62a45fbd30fba","111","No"
"0x00ab82b443ffa08a1a950b636fdcb0790f2fffa1","4864","No"
"0x00ac06ba2d44e0f7a1dc799ea2f7314d8936745e","9772.822","No"
"0x00ac60d2547e118b40148dff3d263bb45b2b9932","6311.87345","No"
"0x00afc7169860932ad7181cb82b795067850b3ef1","15916","No"
"0x00b372482fa1024ab6714fd1099327de03d9b9bc","2000","No"
"0x00b74ceed520c737fb631ebeef39e3e2364960db","44.929","No"
